num,20,2
1-9-307-255,214,1cf,25e,-139,-125,-172
1-9-308-247,212,1cd,25c,-136,-124,-168
1-9-309-239,20e,1c9,258,-133,-123,-165
1-9-310-231,208,1c4,250,-127,-118,-158
1-9-311-223,1ff,1bd,248,-124,-114,-151
1-9-312-215,1f8,1b7,240,-118,-109,-143
1-9-313-207,1ef,1b0,236,-114,-104,-137
1-9-314-199,1e7,1a9,22d,-110,-101,-132
1-9-315-191,1df,1a1,224,-106,-98,-127
1-9-316-183,1d6,19b,21b,-102,-93,-121
1-9-317-175,1cd,193,211,-99,-90,-116
1-9-318-159,1bb,184,1fe,-92,-84,-106
1-9-319-143,1a9,175,1eb,-84,-76,-95
1-9-320-127,195,165,1d6,-78,-69,-86
1-9-321-111,181,154,1c0,-70,-62,-76
1-9-322-95,169,13f,1a9,-64,-56,-66
1-9-323-79,14f,12b,191,-58,-48,-55
1-9-324-63,133,114,176,-51,-40,-43
1-9-325-55,121,107,168,-50,-35,-36
1-9-326-47,112,fb,15a,-43,-28,-27
1-9-327-39,101,ee,14b,-36,-21,-17
1-9-328-31,ed,de,13b,-28,-12,-4
1-9-329-23,d7,d2,12e,-14,7,20
1-9-330-19,cc,cc,127,-6,17,32
1-9-331-17,c6,c9,125,-3,22,40
1-9-332-15,bf,c5,120,0,27,45
1-9-333-13,b7,c1,11e,5,33,57
1-9-334-11,af,be,11b,12,41,68
1-9-335-9,a6,ba,118,17,48,80
1-9-336-7,9d,b5,115,23,55,92
1-9-337-5,94,ab,10f,30,57,104
1-9-338-3,88,9f,108,36,59,116
1-9-339-1,44,50,84,18,30,58
1-9-340-0,0,0,0,0,0,0
1-10-341-255,1be,188,201,-225,-196,-265
1-10-342-247,1bd,187,1ff,-221,-194,-261
1-10-343-239,1ba,184,1fc,-217,-192,-257
1-10-344-231,1b5,180,1f6,-210,-186,-248
1-10-345-223,1ae,17a,1f0,-205,-181,-239
1-10-346-215,1a8,175,1e9,-198,-175,-230
1-10-347-207,1a1,16f,1e2,-192,-169,-221
1-10-348-199,19b,16a,1dc,-186,-164,-213
1-10-349-191,194,164,1d4,-181,-159,-207
1-10-350-183,18d,15e,1cd,-175,-154,-199
1-10-351-175,185,158,1c6,-171,-149,-191
1-10-352-159,177,14c,1b7,-160,-140,-177
1-10-353-143,168,13f,1a8,-149,-130,-162
1-10-354-127,158,132,198,-139,-120,-148
1-10-355-111,147,124,187,-128,-110,-133
1-10-356-95,135,113,175,-116,-100,-118
1-10-357-79,11e,103,163,-107,-88,-101
1-10-358-63,108,f1,150,-94,-75,-81
1-10-359-55,f8,e7,146,-91,-67,-70
1-10-360-47,ed,e0,13e,-80,-55,-55
1-10-361-39,e0,d8,135,-69,-43,-39
1-10-362-31,d3,ce,12c,-54,-28,-19
1-10-363-23,c4,c7,128,-33,-4,14
1-10-364-19,bc,c4,125,-22,9,30
1-10-365-17,b8,c2,124,-17,15,39
1-10-366-15,b3,bf,122,-12,21,47
1-10-367-13,a6,bc,120,-12,28,59
1-10-368-11,98,b8,11c,-11,35,69
1-10-369-9,8a,b5,119,-11,43,81
1-10-370-7,7b,b0,115,-11,50,92
1-10-371-5,6a,9e,10b,-12,44,100
1-10-372-3,57,8a,100,-13,38,108
1-10-373-1,2c,45,80,-6,19,54
1-10-374-0,0,0,0,0,0,0
2-0-1-255,2a2,24a,30d,0,0,0
2-0-2-247,29d,247,308,0,0,0
2-0-3-239,297,242,301,0,0,0
2-0-4-231,28b,238,2f2,0,0,0
2-0-5-223,27e,22d,2e3,0,0,0
2-0-6-215,272,222,2d3,0,0,0
2-0-7-207,264,216,2c3,0,0,0
2-0-8-199,258,20c,2b5,0,0,0
2-0-9-191,24b,201,2a5,0,0,0
2-0-10-183,23e,1f6,296,0,0,0
2-0-11-175,231,1eb,287,0,0,0
2-0-12-159,218,1d5,268,0,0,0
2-0-13-143,1fd,1be,249,0,0,0
2-0-14-127,1e3,1a7,22b,0,0,0
2-0-15-111,1c7,18e,20c,0,0,0
2-0-16-95,1a9,174,1ea,0,0,0
2-0-17-79,189,158,1c7,0,0,0
2-0-18-63,165,139,1a0,0,0,0
2-0-19-55,152,128,18b,0,0,0
2-0-20-47,13c,115,174,0,0,0
2-0-21-39,125,100,15b,0,0,0
2-0-22-31,109,e8,13e,0,0,0
2-0-23-23,e4,c9,119,0,0,0
2-0-24-19,d2,b9,106,0,0,0
2-0-25-17,c8,b1,fc,0,0,0
2-0-26-15,be,a8,f2,0,0,0
2-0-27-13,b1,9e,e4,0,0,0
2-0-28-11,a2,93,d5,0,0,0
2-0-29-9,94,88,c7,0,0,0
2-0-30-7,85,7c,b7,0,0,0
2-0-31-5,75,70,a6,0,0,0
2-0-32-3,63,63,93,0,0,0
2-0-33-1,32,32,4a,0,0,0
2-0-34-0,0,0,0,0,0,0
2-1-35-255,28e,237,2f3,-20,-19,-26
2-1-36-247,289,233,2ed,-20,-20,-27
2-1-37-239,282,22e,2e5,-21,-20,-28
2-1-38-231,277,225,2d8,-20,-19,-26
2-1-39-223,26b,21b,2c9,-19,-18,-26
2-1-40-215,25f,211,2bb,-19,-17,-24
2-1-41-207,252,206,2ac,-18,-16,-23
2-1-42-199,248,1fd,2a0,-16,-15,-21
2-1-43-191,23b,1f2,292,-16,-15,-19
2-1-44-183,230,1e9,284,-14,-13,-18
2-1-45-175,224,1de,275,-13,-13,-18
2-1-46-159,20d,1ca,25a,-11,-11,-14
2-1-47-143,1f4,1b5,23d,-9,-9,-12
2-1-48-127,1da,19f,221,-9,-8,-10
2-1-49-111,1c0,187,204,-7,-7,-8
2-1-50-95,1a3,16e,1e3,-6,-6,-7
2-1-51-79,183,152,1bf,-6,-6,-8
2-1-52-63,161,134,19b,-4,-5,-5
2-1-53-55,14c,123,186,-6,-5,-5
2-1-54-47,136,110,16f,-6,-5,-5
2-1-55-39,120,fb,157,-5,-5,-4
2-1-56-31,104,e3,13a,-5,-5,-4
2-1-57-23,e0,c5,115,-4,-4,-4
2-1-58-19,ce,b6,101,-4,-3,-5
2-1-59-17,c4,ae,f8,-4,-3,-4
2-1-60-15,ba,a5,ee,-4,-3,-4
2-1-61-13,ad,9c,e1,-4,-2,-3
2-1-62-11,9f,92,d3,-3,-1,-2
2-1-63-9,91,89,c6,-3,1,-1
2-1-64-7,83,7e,b7,-2,2,0
2-1-65-5,74,72,a8,-1,2,2
2-1-66-3,64,65,98,1,2,5
2-1-67-1,32,33,4c,0,1,2
2-1-68-0,0,0,0,0,0,0
2-2-69-255,286,22e,2e6,-28,-28,-39
2-2-70-247,281,22a,2e0,-28,-29,-40
2-2-71-239,27a,224,2d8,-29,-30,-41
2-2-72-231,270,21c,2cc,-27,-28,-38
2-2-73-223,264,213,2be,-26,-26,-37
2-2-74-215,259,20a,2b1,-25,-24,-34
2-2-75-207,24d,200,2a3,-23,-22,-32
2-2-76-199,243,1f7,297,-21,-21,-30
2-2-77-191,237,1ed,28a,-20,-20,-27
2-2-78-183,22c,1e4,27d,-18,-18,-25
2-2-79-175,220,1da,26f,-17,-17,-24
2-2-80-159,20a,1c6,255,-14,-15,-19
2-2-81-143,1f2,1b2,23a,-11,-12,-15
2-2-82-127,1d9,19d,21f,-10,-10,-12
2-2-83-111,1bf,186,202,-8,-8,-10
2-2-84-95,1a3,16d,1e3,-6,-7,-7
2-2-85-79,183,152,1bf,-6,-6,-8
2-2-86-63,161,134,19b,-4,-5,-5
2-2-87-55,14c,123,186,-6,-5,-5
2-2-88-47,136,110,16f,-6,-5,-5
2-2-89-39,11f,fb,157,-6,-5,-4
2-2-90-31,104,e3,13a,-5,-5,-4
2-2-91-23,e0,c6,116,-4,-3,-3
2-2-92-19,ce,b8,103,-4,-1,-3
2-2-93-17,c5,b0,fa,-3,-1,-2
2-2-94-15,bb,a8,f0,-3,0,-2
2-2-95-13,af,a0,e5,-2,2,1
2-2-96-11,a3,97,d9,1,4,4
2-2-97-9,96,8f,cd,2,7,6
2-2-98-7,89,85,c0,4,9,9
2-2-99-5,7e,7b,b4,9,11,14
2-2-100-3,71,6f,a7,14,12,20
2-2-101-1,39,38,54,7,6,10
2-2-102-0,0,0,0,0,0,0
2-3-103-255,283,22a,2df,-31,-32,-46
2-3-104-247,27e,225,2d9,-31,-34,-47
2-3-105-239,277,21f,2d1,-32,-35,-48
2-3-106-231,26e,218,2c6,-29,-32,-44
2-3-107-223,262,210,2b9,-28,-29,-42
2-3-108-215,258,207,2ad,-26,-27,-38
2-3-109-207,24d,1fe,29f,-23,-24,-36
2-3-110-199,243,1f5,294,-21,-23,-33
2-3-111-191,237,1eb,287,-20,-22,-30
2-3-112-183,22c,1e2,27b,-18,-20,-27
2-3-113-175,220,1d9,26d,-17,-18,-26
2-3-114-159,20b,1c5,254,-13,-16,-20
2-3-115-143,1f3,1b2,23a,-10,-12,-15
2-3-116-127,1da,19d,21f,-9,-10,-12
2-3-117-111,1c1,187,203,-6,-7,-9
2-3-118-95,1a5,16e,1e4,-4,-6,-6
2-3-119-79,185,153,1c1,-4,-5,-6
2-3-120-63,163,136,19d,-2,-3,-3
2-3-121-55,14e,125,188,-4,-3,-3
2-3-122-47,138,111,171,-4,-4,-3
2-3-123-39,121,fd,159,-4,-3,-2
2-3-124-31,106,e5,13d,-3,-3,-1
2-3-125-23,e3,ca,11b,-1,1,2
2-3-126-19,d1,bd,109,-1,4,3
2-3-127-17,c9,b6,101,1,5,5
2-3-128-15,bf,ae,f7,1,6,5
2-3-129-13,b5,a7,ee,4,9,10
2-3-130-11,aa,9f,e4,8,12,15
2-3-131-9,9f,99,da,11,17,19
2-3-132-7,94,90,d0,15,20,25
2-3-133-5,8d,88,c7,24,24,33
2-3-134-3,84,7e,bd,33,27,42
2-3-135-1,42,3f,5f,16,13,21
2-3-136-0,0,0,0,0,0,0
2-4-137-255,2d0,26c,337,46,34,42
2-4-138-247,2cd,26a,333,48,35,43
2-4-139-239,2c8,266,32e,49,36,45
2-4-140-231,2b9,25a,31c,46,34,42
2-4-141-223,2aa,24d,309,44,32,38
2-4-142-215,29a,241,2f7,40,31,36
2-4-143-207,28a,233,2e3,38,29,32
2-4-144-199,27d,228,2d3,37,28,30
2-4-145-191,26e,21b,2c2,35,26,29
2-4-146-183,260,20f,2b1,34,25,27
2-4-147-175,252,203,29f,33,24,24
2-4-148-159,235,1ea,27d,29,21,21
2-4-149-143,218,1d1,25a,27,19,17
2-4-150-127,1fb,1b7,239,24,16,14
2-4-151-111,1dd,19c,217,22,14,11
2-4-152-95,1bd,181,1f3,20,13,9
2-4-153-79,19b,163,1cd,18,11,6
2-4-154-63,176,142,1a4,17,9,4
2-4-155-55,161,130,18d,15,8,2
2-4-156-47,14a,11c,174,14,7,0
2-4-157-39,131,106,15a,12,6,-1
2-4-158-31,114,ec,13b,11,4,-3
2-4-159-23,ed,ca,113,9,1,-6
2-4-160-19,da,b8,ff,8,-1,-7
2-4-161-17,d0,b0,f5,8,-1,-7
2-4-162-15,c5,a6,ea,7,-2,-8
2-4-163-13,b5,98,db,4,-6,-9
2-4-164-11,a5,89,cb,3,-10,-10
2-4-165-9,94,7b,bb,0,-13,-12
2-4-166-7,83,6b,aa,-2,-17,-13
2-4-167-5,6c,54,93,-9,-28,-19
2-4-168-3,53,3b,7b,-16,-40,-24
2-4-169-1,2a,1e,3e,-8,-20,-12
2-4-170-0,0,0,0,0,0,0
2-5-171-255,287,246,2f6,-27,-4,-23
2-5-172-247,280,241,2ef,-29,-6,-25
2-5-173-239,278,23a,2e7,-31,-8,-26
2-5-174-231,271,234,2df,-26,-4,-19
2-5-175-223,269,22d,2d7,-21,0,-12
2-5-176-215,262,227,2ce,-16,5,-5
